Classifier,Accuracy,Precision,Recall,F1_Score,AUC_Score,CV_Score,Best_Params,Supports_Probability
KNN_Coarse,0.5789473684210527,0.5870741015292535,0.5789473684210527,0.5793848257006152,0.6274663872882836,0.6101006036217305,"{'clf__n_neighbors': 10, 'clf__weights': 'uniform'}",True
KNN_Medium,0.5197368421052632,0.5191517396432257,0.5197368421052632,0.5194219705038636,0.566963506198708,0.6128370221327968,"{'clf__n_neighbors': 25, 'clf__weights': 'distance'}",True
KNN_Fine,0.6052631578947368,0.6102574618364092,0.6052631578947368,0.606084528122804,0.6235376287759734,0.5819315895372233,"{'clf__n_neighbors': 3, 'clf__weights': 'uniform'}",True
KNN_Weighted,0.5723684210526315,0.5709010237009012,0.5723684210526315,0.571412505623032,0.5952505674873406,0.6072434607645876,"{'clf__n_neighbors': 15, 'clf__weights': 'distance'}",True
KNN_Cosine,0.5460526315789473,0.5415474828375286,0.5460526315789473,0.541890190592761,0.6074733717478611,0.5987927565392355,"{'clf__n_neighbors': 15, 'clf__weights': 'distance'}",True
