Classifier,Accuracy,Precision,Recall,F1_Score,AUC_Score,CV_Score,Best_Params,Supports_Probability
LinearSVM,0.5723684210526315,0.5700321471291867,0.5723684210526315,0.5705821571472541,0.6046795879168849,0.5794366197183098,{'clf__C': 1},True
QuadraticSVM,0.5723684210526315,0.5700321471291867,0.5723684210526315,0.5705821571472541,0.5992666317443687,0.5480482897384306,"{'clf__C': 10, 'clf__gamma': 'scale'}",True
CubicSVM,0.5263157894736842,0.5299248120300751,0.5263157894736842,0.5273026315789474,0.5776148070543041,0.6326760563380283,"{'clf__C': 10, 'clf__gamma': 'scale'}",True
RbfSVM,0.5657894736842105,0.566892256724231,0.5657894736842105,0.5662433522831469,0.5783132530120482,0.5875653923541247,"{'clf__C': 10, 'clf__gamma': 'scale'}",True
