Classifier,Accuracy,Precision,Recall,F1_Score,AUC_Score,CV_Score,Best_Params,Supports_Probability
LogisticRegression,0.5131578947368421,0.5143521950415946,0.5131578947368421,0.5136667889235284,0.5592806006635236,0.5987927565392355,"{'clf__C': 1, 'clf__penalty': 'l2'}",True
LogisticRegression_L1,0.5592105263157895,0.5597583898771318,0.5592105263157895,0.5594603742843046,0.5735987427972761,0.6016498993963784,{'clf__C': 1},True
LogisticRegression_ElasticNet,0.5592105263157895,0.5567340759569378,0.5592105263157895,0.5573693004440926,0.5674873406670159,0.6100603621730383,"{'clf__C': 0.1, 'clf__l1_ratio': 0.1}",True
