Classifier,Accuracy,Precision,Recall,F1_Score,AUC_Score,CV_Score,Best_Params,Supports_Probability
LinearSVM,0.5986842105263158,0.5955520594965675,0.5986842105263158,0.5950043713936003,0.6776671905011349,0.6270422535211269,{'clf__C': 100},True
QuadraticSVM,0.5460526315789473,0.2981734764542936,0.5460526315789473,0.38572228443449047,0.6526977475117862,0.5424144869215292,"{'clf__C': 0.1, 'clf__gamma': 'scale'}",True
CubicSVM,0.5657894736842105,0.5722007246310679,0.5657894736842105,0.5665417441733231,0.6389034398463419,0.567887323943662,"{'clf__C': 1, 'clf__gamma': 'scale'}",True
RbfSVM,0.618421052631579,0.6234335839598998,0.618421052631579,0.619215043852044,0.6700715907106687,0.5762173038229376,"{'clf__C': 100, 'clf__gamma': 'scale'}",True
