Classifier,Accuracy,Precision,Recall,F1_Score,AUC_Score,CV_Score,Best_Params,Supports_Probability
KNN_Coarse,0.5657894736842105,0.5813245660968902,0.5657894736842105,0.5635307055570259,0.5817181770560503,0.6101006036217305,"{'clf__n_neighbors': 50, 'clf__weights': 'uniform'}",True
KNN_Medium,0.5592105263157895,0.571466655539483,0.5592105263157895,0.558237144061713,0.604854199406321,0.595814889336016,"{'clf__n_neighbors': 15, 'clf__weights': 'distance'}",True
KNN_Fine,0.5394736842105263,0.538369299015757,0.5394736842105263,0.5388286893704851,0.534311157674175,0.5677665995975856,"{'clf__n_neighbors': 1, 'clf__weights': 'uniform'}",True
KNN_Weighted,0.5592105263157895,0.571466655539483,0.5592105263157895,0.558237144061713,0.604854199406321,0.595814889336016,"{'clf__n_neighbors': 15, 'clf__weights': 'distance'}",True
KNN_Cosine,0.5921052631578947,0.5903462236493089,0.5921052631578947,0.5908160436209048,0.6378557709097259,0.6045875251509054,"{'clf__n_neighbors': 10, 'clf__weights': 'distance'}",True
