Classifier,Accuracy,Precision,Recall,F1_Score,AUC_Score,CV_Score,Best_Params,Supports_Probability
Perceptron,0.5,0.478466271149198,0.5,0.47244611059044045,N/A,0.5592756539235413,"{'clf__alpha': 0.001, 'clf__penalty': 'l2'}",False
MLP_1Layer,0.5394736842105263,0.5406222258829129,0.5394736842105263,0.5399550706033376,0.570455735987428,0.5849094567404427,"{'clf__alpha': 0.001, 'clf__hidden_layer_sizes': (100,), 'clf__learning_rate': 'constant'}",True
MLP_2Layer,0.5592105263157895,0.563452216066482,0.5592105263157895,0.5601473592895707,0.5723764623712241,0.5819718309859155,"{'clf__alpha': 0.001, 'clf__hidden_layer_sizes': (50, 25), 'clf__learning_rate': 'constant'}",True
