Classifier,Accuracy,Precision,Recall,F1_Score,AUC_Score,CV_Score,Best_Params,Supports_Probability
LinearSVM,0.6118421052631579,0.6146802166539009,0.6118421052631579,0.612600785941747,0.6616029334730225,0.6439839034205231,{'clf__C': 1},True
QuadraticSVM,0.5197368421052632,0.5374150480750665,0.5197368421052632,0.5139903177863729,0.5533438100226995,0.6270422535211269,"{'clf__C': 1, 'clf__gamma': 'scale'}",True
CubicSVM,0.631578947368421,0.6296640477598491,0.631578947368421,0.6296316902192055,0.6905011349746814,0.6383098591549297,"{'clf__C': 1, 'clf__gamma': 'scale'}",True
RbfSVM,0.5986842105263158,0.6003015350877193,0.5986842105263158,0.5992604373484292,0.6368081019731098,0.6326358148893361,"{'clf__C': 1, 'clf__gamma': 'scale'}",True
