Classifier,Accuracy,Precision,Recall,F1_Score,AUC_Score,CV_Score,Best_Params,Supports_Probability
Perceptron,0.46710526315789475,0.4832641700404859,0.46710526315789475,0.4547960137028963,N/A,0.6047082494969819,"{'clf__alpha': 0.0001, 'clf__penalty': None}",False
MLP_1Layer,0.6118421052631579,0.6123349532367504,0.6118421052631579,0.6120621206384174,0.6640474943251266,0.5794366197183098,"{'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (100,), 'clf__learning_rate': 'adaptive'}",True
MLP_2Layer,0.6381578947368421,0.6377386480908153,0.6381578947368421,0.6379206627083903,0.6715557883708748,0.5878470824949698,"{'clf__alpha': 0.001, 'clf__hidden_layer_sizes': (200, 100), 'clf__learning_rate': 'adaptive'}",True
