Classifier,Accuracy,Precision,Recall,F1_Score,AUC_Score,CV_Score,Best_Params,Supports_Probability
LinearSVM,0.5723684210526315,0.568549771167048,0.5723684210526315,0.5684472809931806,0.6261568011175135,0.5735211267605634,{'clf__C': 100},True
QuadraticSVM,0.5592105263157895,0.5777412280701754,0.5592105263157895,0.5552473841947526,0.6179500611140213,0.5764587525150906,"{'clf__C': 1, 'clf__gamma': 'scale'}",True
CubicSVM,0.5460526315789473,0.5490047233468287,0.5460526315789473,0.54693990220306,0.5529945870438274,0.5762575452716299,"{'clf__C': 10, 'clf__gamma': 'scale'}",True
RbfSVM,0.5657894736842105,0.5647682639434407,0.5657894736842105,0.5651813356921714,0.5825039287585122,0.6073239436619718,"{'clf__C': 10, 'clf__gamma': 'scale'}",True
