Classifier,Accuracy,Precision,Recall,F1_Score,AUC_Score,CV_Score,Best_Params,Supports_Probability
LogisticRegression,0.5986842105263158,0.5949173529060747,0.5986842105263158,0.5908428428570416,0.6865723764623712,0.5596378269617706,"{'clf__C': 10, 'clf__penalty': 'l2'}",True
LogisticRegression_L1,0.5855263157894737,0.5809389545291801,0.5855263157894737,0.577427854098256,0.6774925790116989,0.5624949698189136,{'clf__C': 1},True
LogisticRegression_ElasticNet,0.5921052631578947,0.5879963498248902,0.5921052631578947,0.5849415204678362,0.6788894709271871,0.5596780684104627,"{'clf__C': 1, 'clf__l1_ratio': 0.9}",True
