Classifier,Accuracy,Precision,Recall,F1_Score,AUC_Score,CV_Score,Best_Params,Supports_Probability
KNN_Coarse,0.5526315789473685,0.5443932299542198,0.5526315789473685,0.5387710665400516,0.5543914789593155,0.5790342052313884,"{'clf__n_neighbors': 50, 'clf__weights': 'distance'}",True
KNN_Medium,0.5657894736842105,0.5614490710099469,0.5657894736842105,0.5611636513157895,0.5954251789767767,0.5678470824949698,"{'clf__n_neighbors': 15, 'clf__weights': 'distance'}",True
KNN_Fine,0.5131578947368421,0.5119703340880736,0.5131578947368421,0.5124760430487985,0.5077702112799022,0.5507444668008048,"{'clf__n_neighbors': 1, 'clf__weights': 'uniform'}",True
KNN_Weighted,0.5657894736842105,0.5614490710099469,0.5657894736842105,0.5611636513157895,0.5954251789767767,0.5678470824949698,"{'clf__n_neighbors': 15, 'clf__weights': 'distance'}",True
KNN_Cosine,0.5263157894736842,0.5152618022170545,0.5263157894736842,0.5116399528071135,0.5790116989697922,0.5622132796780684,"{'clf__n_neighbors': 15, 'clf__weights': 'distance'}",True
