Classifier,Accuracy,Precision,Recall,F1_Score,AUC_Score,CV_Score,Best_Params,Supports_Probability
LinearSVM,0.6308724832214765,0.6385086835685765,0.6308724832214765,0.6312383347045205,0.6968046477850399,0.5921962393083596,{'clf__C': 0.1},True
QuadraticSVM,0.5436241610738255,0.5598907974064384,0.5436241610738255,0.5395390608881391,0.5726216412490923,0.5554834539623379,"{'clf__C': 1, 'clf__gamma': 'scale'}",True
CubicSVM,0.6040268456375839,0.6035773009237655,0.6040268456375839,0.6037749199770034,0.6294480755265068,0.5521525358775337,"{'clf__C': 10, 'clf__gamma': 'scale'}",True
RbfSVM,0.5906040268456376,0.5911025192101936,0.5906040268456376,0.5908267566673655,0.6666666666666667,0.6344397423655115,"{'clf__C': 1, 'clf__gamma': 'scale'}",True
