Classifier,Accuracy,Precision,Recall,F1_Score,AUC_Score,CV_Score,Best_Params,Supports_Probability
LogisticRegression,0.6381578947368421,0.6365225029904306,0.6381578947368421,0.6366464406630611,0.6863977649729353,0.6526760563380283,"{'clf__C': 1, 'clf__penalty': 'l2'}",True
LogisticRegression_L1,0.6447368421052632,0.643387314439946,0.6447368421052632,0.6436139734762719,0.6879692683778593,0.6414084507042255,{'clf__C': 1},True
LogisticRegression_ElasticNet,0.6447368421052632,0.643387314439946,0.6447368421052632,0.6436139734762719,0.6850008730574472,0.658390342052314,"{'clf__C': 1, 'clf__l1_ratio': 0.5}",True
