Classifier,Accuracy,Precision,Recall,F1_Score,AUC_Score,CV_Score,Best_Params,Supports_Probability
KNN_Coarse,0.5328947368421053,0.5346491228070175,0.5328947368421053,0.5335654270776798,0.5946394272743146,0.5594366197183099,"{'clf__n_neighbors': 10, 'clf__weights': 'uniform'}",True
KNN_Medium,0.5657894736842105,0.5589589438228025,0.5657894736842105,0.5523366234065207,0.5844246551423083,0.576297786720322,"{'clf__n_neighbors': 15, 'clf__weights': 'distance'}",True
KNN_Fine,0.5460526315789473,0.542470760233918,0.5460526315789473,0.5431081730713405,0.5377160817181771,0.5566197183098592,"{'clf__n_neighbors': 3, 'clf__weights': 'uniform'}",True
KNN_Weighted,0.5657894736842105,0.5589589438228025,0.5657894736842105,0.5523366234065207,0.5844246551423083,0.576297786720322,"{'clf__n_neighbors': 15, 'clf__weights': 'distance'}",True
KNN_Cosine,0.6052631578947368,0.6029821745374673,0.6052631578947368,0.6031768109491488,0.638816134101624,0.5849094567404427,"{'clf__n_neighbors': 10, 'clf__weights': 'uniform'}",True
