Classifier,Accuracy,Precision,Recall,F1_Score,AUC_Score,CV_Score,Best_Params,Supports_Probability
KNN_Coarse,0.5789473684210527,0.581210699716171,0.5789473684210527,0.5796795065389087,0.5949013445084687,0.6043460764587525,"{'clf__n_neighbors': 50, 'clf__weights': 'distance'}",True
KNN_Medium,0.5592105263157895,0.5597583898771318,0.5592105263157895,0.5594603742843046,0.5952505674873407,0.6213682092555333,"{'clf__n_neighbors': 25, 'clf__weights': 'distance'}",True
KNN_Fine,0.5592105263157895,0.5609100877192982,0.5592105263157895,0.5598434311859796,0.5572725685350095,0.5564587525150906,"{'clf__n_neighbors': 1, 'clf__weights': 'uniform'}",True
KNN_Weighted,0.5328947368421053,0.5358696246854141,0.5328947368421053,0.5338077254553227,0.6191723415400733,0.5929979879275653,"{'clf__n_neighbors': 15, 'clf__weights': 'distance'}",True
KNN_Cosine,0.6052631578947368,0.611879751398611,0.6052631578947368,0.6059470401575665,0.6395145800593679,0.6130784708249497,"{'clf__n_neighbors': 10, 'clf__weights': 'uniform'}",True
