Classifier,Accuracy,Precision,Recall,F1_Score,AUC_Score,CV_Score,Best_Params,Supports_Probability
LinearSVM,0.6644736842105263,0.6631186453349283,0.6644736842105263,0.663072154069384,0.749956347127641,0.5987525150905432,{'clf__C': 100},True
QuadraticSVM,0.5657894736842105,0.5629593647038945,0.5657894736842105,0.5634944920440637,0.5789243932250743,0.5566197183098592,"{'clf__C': 10, 'clf__gamma': 'scale'}",True
CubicSVM,0.6118421052631579,0.6094156762874929,0.6118421052631579,0.6093243798725956,0.6680635585821546,0.5678068410462777,"{'clf__C': 1, 'clf__gamma': 'scale'}",True
RbfSVM,0.6118421052631579,0.6088422404139475,0.6118421052631579,0.6070935212045863,0.6553169198533264,0.5733601609657948,"{'clf__C': 1, 'clf__gamma': 'scale'}",True
