Classifier,Accuracy,Precision,Recall,F1_Score,AUC_Score,CV_Score,Best_Params,Supports_Probability
LinearSVM,0.5394736842105263,0.5306915366459246,0.5394736842105263,0.5274599542334095,0.40981316570630344,0.5057545271629779,{'clf__C': 1},True
QuadraticSVM,0.5657894736842105,0.5589589438228025,0.5657894736842105,0.5523366234065207,0.5961236249345206,0.5930784708249497,"{'clf__C': 1, 'clf__gamma': 'scale'}",True
CubicSVM,0.5263157894736842,0.5046037553777492,0.5263157894736842,0.48493394231063974,0.5504627204470054,0.5792756539235413,"{'clf__C': 1, 'clf__gamma': 'scale'}",True
RbfSVM,0.5526315789473685,0.5463473585557145,0.5526315789473685,0.5447745708356914,0.5669635061987078,0.5734808853118712,"{'clf__C': 10, 'clf__gamma': 'scale'}",True
