Classifier,Accuracy,Precision,Recall,F1_Score,AUC_Score,CV_Score,Best_Params,Supports_Probability
KNN_Coarse,0.5789473684210527,0.5741133527351651,0.5789473684210527,0.5715525372571214,0.5922821721669286,0.581851106639839,"{'clf__n_neighbors': 90, 'clf__weights': 'distance'}",True
KNN_Medium,0.6381578947368421,0.6361936427089229,0.6381578947368421,0.6358108625930975,0.6532215819800944,0.550784708249497,"{'clf__n_neighbors': 15, 'clf__weights': 'distance'}",True
KNN_Fine,0.5592105263157895,0.557673584065873,0.5592105263157895,0.5582251981037406,0.5839881264187183,0.5706639839034205,"{'clf__n_neighbors': 3, 'clf__weights': 'uniform'}",True
KNN_Weighted,0.6447368421052632,0.6447368421052632,0.6447368421052632,0.6447368421052632,0.6555788370874803,0.5593561368209257,"{'clf__n_neighbors': 5, 'clf__weights': 'distance'}",True
KNN_Cosine,0.625,0.6225543478260869,0.625,0.6215614617940199,0.6553169198533264,0.5817706237424547,"{'clf__n_neighbors': 10, 'clf__weights': 'distance'}",True
