Classifier,Accuracy,Precision,Recall,F1_Score,AUC_Score,CV_Score,Best_Params,Supports_Probability
LinearSVM,0.625,0.6225818452380952,0.625,0.6191173184357541,0.6993190151911995,0.6076861167002012,{'clf__C': 10},True
QuadraticSVM,0.5394736842105263,0.5406222258829129,0.5394736842105263,0.5399550706033376,0.6312205343111577,0.5874446680080483,"{'clf__C': 1, 'clf__gamma': 'scale'}",True
CubicSVM,0.5789473684210527,0.5789473684210527,0.5789473684210527,0.5789473684210527,0.6558407543216344,0.6101408450704227,"{'clf__C': 1, 'clf__gamma': 'scale'}",True
RbfSVM,0.625,0.6225818452380952,0.625,0.6191173184357541,0.6670158896455386,0.6073641851106639,"{'clf__C': 1, 'clf__gamma': 'scale'}",True
