Classifier,Accuracy,Precision,Recall,F1_Score,AUC_Score,CV_Score,Best_Params,Supports_Probability
KNN_Coarse,0.5592105263157895,0.557673584065873,0.5592105263157895,0.5582251981037406,0.5812816483324603,0.6185513078470826,"{'clf__n_neighbors': 70, 'clf__weights': 'distance'}",True
KNN_Medium,0.5855263157894737,0.5850333554474421,0.5855263157894737,0.5852545772841563,0.6357604330364938,0.5901006036217304,"{'clf__n_neighbors': 25, 'clf__weights': 'distance'}",True
KNN_Fine,0.6118421052631579,0.6123349532367504,0.6118421052631579,0.6120621206384174,0.6494674349572201,0.5621730382293763,"{'clf__n_neighbors': 3, 'clf__weights': 'uniform'}",True
KNN_Weighted,0.625,0.6232244318181818,0.625,0.6234335839598998,0.6781910249694431,0.5706639839034205,"{'clf__n_neighbors': 15, 'clf__weights': 'distance'}",True
KNN_Cosine,0.618421052631579,0.6163231111486581,0.618421052631579,0.6164042505841771,0.6502531866596821,0.587645875251509,"{'clf__n_neighbors': 5, 'clf__weights': 'distance'}",True
