Classifier,Accuracy,Precision,Recall,F1_Score,AUC_Score,CV_Score,Best_Params,Supports_Probability
Perceptron,0.5592105263157895,0.5558597434446331,0.5592105263157895,0.5563514144315915,N/A,0.5595573440643864,"{'clf__alpha': 0.001, 'clf__penalty': 'l2'}",False
MLP_1Layer,0.6710526315789473,0.6699735259416995,0.6710526315789473,0.66754822069378,0.7050811943425878,0.5931589537223341,"{'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (100,), 'clf__learning_rate': 'constant'}",True
MLP_2Layer,0.6381578947368421,0.6423995844875346,0.6381578947368421,0.6389269367302446,0.6980967347651476,0.6072434607645875,"{'clf__alpha': 0.001, 'clf__hidden_layer_sizes': (50, 25), 'clf__learning_rate': 'adaptive'}",True
