Classifier,Accuracy,Precision,Recall,F1_Score,AUC_Score,CV_Score,Best_Params,Supports_Probability
LogisticRegression,0.6381578947368421,0.6370382218760431,0.6381578947368421,0.6373490432194885,0.7103195390256679,0.6611670020120725,"{'clf__C': 1, 'clf__penalty': 'l2'}",True
LogisticRegression_L1,0.6381578947368421,0.6377386480908153,0.6381578947368421,0.6379206627083903,0.7092718700890518,0.658390342052314,{'clf__C': 1},True
LogisticRegression_ElasticNet,0.6381578947368421,0.6370382218760431,0.6381578947368421,0.6373490432194885,0.7096210930679238,0.6611670020120725,"{'clf__C': 1, 'clf__l1_ratio': 0.1}",True
