Classifier,Accuracy,Precision,Recall,F1_Score,AUC_Score,CV_Score,Best_Params,Supports_Probability
LinearSVM,0.6973684210526315,0.6964284052305831,0.6973684210526315,0.696411903331639,0.7675921075606775,0.5793158953722334,{'clf__C': 10},True
QuadraticSVM,0.5723684210526315,0.5700321471291867,0.5723684210526315,0.5705821571472541,0.6269425528199756,0.5479275653923541,"{'clf__C': 10, 'clf__gamma': 'scale'}",True
CubicSVM,0.6381578947368421,0.6365225029904306,0.6381578947368421,0.6366464406630611,0.679587916884931,0.5650301810865191,"{'clf__C': 10, 'clf__gamma': 'scale'}",True
RbfSVM,0.5986842105263158,0.596026693076778,0.5986842105263158,0.5960811385123445,0.6455386764449103,0.565030181086519,"{'clf__C': 10, 'clf__gamma': 'scale'}",True
