Classifier,Accuracy,Precision,Recall,F1_Score,AUC_Score,CV_Score,Best_Params,Supports_Probability
LinearSVM,0.5723684210526315,0.5663390092879258,0.5723684210526315,0.5601892250499061,0.5723764623712241,0.5256338028169014,{'clf__C': 1},True
QuadraticSVM,0.46710526315789475,0.45513336913712854,0.46710526315789475,0.45669295526918635,0.4815784878645015,0.5761770623742455,"{'clf__C': 1, 'clf__gamma': 'scale'}",True
CubicSVM,0.6052631578947368,0.6063965120447791,0.6052631578947368,0.5835100873082425,0.5972585996158547,0.548169014084507,"{'clf__C': 1, 'clf__gamma': 'scale'}",True
RbfSVM,0.5657894736842105,0.5614490710099469,0.5657894736842105,0.5611636513157895,0.533787323205867,0.5846680080482896,"{'clf__C': 10, 'clf__gamma': 'scale'}",True
