Classifier,Accuracy,Precision,Recall,F1_Score,AUC_Score,CV_Score,Best_Params,Supports_Probability
KNN_Coarse,0.5263157894736842,0.5353220662972255,0.5263157894736842,0.5263157894736842,0.5603282696001396,0.5932394366197183,"{'clf__n_neighbors': 90, 'clf__weights': 'distance'}",True
KNN_Medium,0.5855263157894737,0.5897680055401662,0.5855263157894737,0.586407218436462,0.6036319189802689,0.5932394366197183,"{'clf__n_neighbors': 20, 'clf__weights': 'distance'}",True
KNN_Fine,0.5657894736842105,0.5707290954659375,0.5657894736842105,0.5666929809350844,0.5823293172690762,0.5309456740442655,"{'clf__n_neighbors': 3, 'clf__weights': 'uniform'}",True
KNN_Weighted,0.5657894736842105,0.5707290954659375,0.5657894736842105,0.5666929809350844,0.5835515976951283,0.5931589537223341,"{'clf__n_neighbors': 15, 'clf__weights': 'distance'}",True
KNN_Cosine,0.5789473684210527,0.581210699716171,0.5789473684210527,0.5796795065389087,0.6189977300506374,0.5932394366197183,"{'clf__n_neighbors': 15, 'clf__weights': 'distance'}",True
