,Classifier,f1_score
Tree_Based,ExtraTrees,0.6215614617940199
KNN_Variants,KNN_Weighted,0.6447368421052632
Probabilistic,LDA,0.5845998131423231
SVM_Variants,LinearSVM,0.5705821571472541
Logistic_Regression,LogisticRegression_L1,0.5594603742843046
Neural_Networks,MLP_2Layer,0.6379206627083903
